perimeter;area;circularity
257,81;25763,5;4,87098
250,923;9375;1,87112
291,568;30127,5;4,45343
267,017;9432,5;1,66249
240,606;17125,5;3,7174
263,641;16284,5;2,94414
255,026;24729;4,77802
270,351;14556,5;2,50271
305,061;11612,5;1,56806
237,441;4550,5;1,01428
257,664;8211;1,55417
281,999;1649;0,260577
273,964;6369;1,06634
255,522;2531,5;0,487227
259,739;16860;3,14045
260,308;14327,5;2,65708
278,645;12052,5;1,95068
290,615;24491;3,64403
290,056;9954,5;1,48684
272,472;5499;0,930789
251,73;3371;0,668495
263,491;4099;0,741917
267,572;1425;0,250116
259,864;15661,5;2,91442
259,732;5641;1,05078
248,819;24615,5;4,99633
239,622;13471,5;2,94831
215,518;1961;0,530542
242,303;9238,5;1,97739
261,1;7268;1,33971
265,243;11400,5;2,03632
272,725;10267;1,73461
283,881;9260,5;1,44402
279,444;18262,5;2,93888
216,126;7980;2,14684
262,783;6949;1,26455
244,487;3708,5;0,779647
273,567;12814,5;2,1517
253,714;830;0,162031
246,261;4936,5;1,02291
245,84;7106,5;1,47761
262,362;6115,5;1,11645
258,392;23180,5;4,36289
246,536;9319;1,92672
243,137;12297;2,614
315,472;5297,5;0,668897
250,104;23286,5;4,67813
289,83;7083,5;1,05967
258,916;18261,5;3,42316
250,751;2508;0,501246
283,662;13567,5;2,11889
185,179;3902,5;1,4301
226,536;7460,5;1,82685
237,719;1740;0,386929
260,632;4243;0,784925
285,041;22319,5;3,45207
254,679;7864,5;1,52369
221,728;8139;2,08036
237,052;3758;0,840386
260,182;10476;1,94469
262,92;18503;3,36361
151,982;6959;3,78595
247,271;9878,5;2,03027
249,009;9784;1,98288
263,557;8381;1,51621
291,45;16927;2,50415
257,521;16271;3,08318
294,253;10403,5;1,50989
234,513;11934,5;2,72696
237,651;22143;4,92682
286,51;1848;0,2829
244,423;5200;1,09378
246,832;23575,5;4,8626
228,068;1767;0,426892
328,625;15701;1,82699
251,452;459,5;0,0913238
277,39;11293,5;1,8444
226,359;2792;0,684748
240,788;7508;1,62729
249,071;2041,5;0,413535
238,49;123;0,0271752
256,102;7902,5;1,51408
157,765;11836;5,97575
274,804;20188;3,35936
243,312;8395;1,78198
256,7;3519;0,671087
265,746;15055;2,6789
250,663;272;0,0543999
270,45;4152,5;0,713422
259,102;2891;0,541148
254,923;13997;2,70663
151,793;988;0,538841
288,157;10503;1,58951
252,81;2812,5;0,552988
230,023;12606,5;2,99407
280,705;7014,5;1,11868
338,963;13853;1,51513
287,15;25446,5;3,87811
225,198;8712;2,15872
283,032;12495,5;1,96017
260,662;7612,5;1,40794
275,55;25230,5;4,17574
283,98;14135,5;2,20265
285,519;14506,5;2,23615
235,941;5728,5;1,29314
256,722;9434,5;1,79889
196,392;1757,5;0,572608
125,931;2561,5;2,02975
252,425;7202,5;1,42046
249,578;8958;1,8072
252,688;1597;0,3143
261,295;1538;0,283076
237,759;1540,5;0,342449
271,153;10004,5;1,70993
287,053;1611;0,245686
199,41;7009,5;2,21515
246,225;457;0,0947243
162,681;14189;6,73736
264,329;9014,5;1,6213
306,03;2687;0,360536
235,706;4724,5;1,06862
255,852;8111;1,55706
272,928;4161;0,701958
146,036;15057,5;8,87244
