perimeter;area;circularity
184,888;13154,5;4,83579
186,708;7857;2,8323
186,691;11797,5;4,25355
183,15;578;0,216532
192,332;4230;1,43697
203,895;4910;1,48416
197,986;11276,5;3,61507
174,076;8848,5;3,66946
190,785;3846;1,32779
189,909;10876;3,78955
192,332;17081,5;5,80271
197,809;14642;4,70238
186,421;8894;3,216
191,795;7589;2,59251
196,432;9900;3,22419
178,625;3891,5;1,53264
185,458;6468,5;2,36333
194,84;9824;3,25193
180,053;6000;2,32575
189,424;9390,5;3,28875
195,747;12972;4,25427
190,647;5217;1,80372
188,977;9301;3,27283
204,8;2525;0,756506
204,236;13733;4,13725
189,177;823,5;0,289158
175,972;9402,5;3,81562
205,918;16473;4,88194
185,115;5879;2,15591
193,563;8109;2,71977
184,035;9405,5;3,48971
190,768;11932,5;4,1203
190,255;4292,5;1,49021
179,836;10489,5;4,07581
184,308;10171,5;3,76276
180,787;9192,5;3,53433
199,795;14469;4,55492
193,358;7444,5;2,50219
186,124;4752;1,72378
177,752;4208;1,67362
193,31;3038,5;1,02178
183,289;6680,5;2,4989
203,759;9693;2,93383
196,618;3378;1,09806
180,903;10204,5;3,91841
184,81;6727;2,47503
201,526;15961;4,93863
203,145;10142;3,0883
185,807;5792;2,10822
192,895;19067;6,43944
173,182;5293;2,21772
196,967;12434;4,02749
181,298;8596;3,28639
178,455;1716,5;0,677323
189,906;6703,5;2,33578
193,691;12010,5;4,02303
194,161;6270,5;2,09019
185,615;8374,5;3,0545
196,834;5987;1,94187
195,259;13494,5;4,44778
175,446;6669,5;2,72281
193,788;1536,5;0,514148
183,239;7463,5;2,79331
209,644;12617,5;3,6076
185,184;10066,5;3,68877
197,513;8444,5;2,72015
189,717;8015;2,79834
188,484;7002,5;2,47693
188,047;1903;0,676266
190,236;1993;0,692039
197,56;4390,5;1,4136
179,95;6048,5;2,34722
182,744;2118;0,796986
187,924;9415;3,35016
175,377;7389;3,0189
203,382;12220,5;3,71255
190,535;13566,5;4,69601
184,329;3706,5;1,37084
190,694;7448,5;2,57399
209,65;14217;4,0647
179,677;2367;0,921343
207,346;16676;4,87428
190,956;6418;2,21179
194,497;2593,5;0,861528
208,646;15739,5;4,54338
182,211;4514,5;1,70871
185,005;404;0,148328
185,039;6045;2,21859
202,309;14738;4,52499
207,21;2932;0,858128
185,762;5049,5;1,83883
201,849;3923;1,20998
187,624;3974,5;1,41878
186,219;1575,5;0,570924
177,076;1745,5;0,699535
180,682;5656,5;2,17734
190,924;5841,5;2,01379
191,931;3727;1,27138
194,527;4525,5;1,50285
198,671;11666;3,71416
176,525;3885;1,5667
191,9;1808,5;0,617133
191,945;15119,5;5,15696
186,938;5611,5;2,01787
202,025;880;0,270945
180,241;4068;1,57355
190,583;6857;2,37234
185,003;1290;0,473634
184,767;4464;1,64319
189,655;7900,5;2,76016
192,721;14858,5;5,02721
204,923;6343;1,89812
210,018;1857,5;0,529205
201,197;20468,5;6,35411
190,965;180,5;0,0621983
183,244;1757,5;0,657726
189,405;6772,5;2,37233
195,687;22963;7,53558
202,266;3663,5;1,12528
200,896;10972;3,41627
189,995;7514;2,61576
185,809;7062;2,57043
187,853;737;0,262448
178,13;1553,5;0,615241
189,861;2556,5;0,891218
180,715;5211;2,00514
189,539;2257;0,789482
194,566;2668;0,885649
189,429;1639;0,57398
180,336;6405,5;2,47514
187,731;2876,5;1,02565
189,651;6857;2,3957
185,158;4438;1,62673
199,419;10153;3,20827
165,446;2482,5;1,13968
190,876;2709;0,93436
188,241;2271,5;0,805555
